Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	hadoop223.research.att.com	1759321671.172	 24986.901	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3548644859\ --seeds\ 3548644859\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3548644859/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3548644859\ --seeds\ 3548644859\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3548644859/log.txt;
21	hadoop197.research.att.com	1759321671.296	 29615.115	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/4194499680\ --seeds\ 4194499680\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/4194499680/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/4194499680\ --seeds\ 4194499680\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/4194499680/log.txt;
24	hadoop209.research.att.com	1759321671.317	 50231.546	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2779365847\ --seeds\ 2779365847\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2779365847/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2779365847\ --seeds\ 2779365847\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2779365847/log.txt;
2	hadoop187.research.att.com	1759321671.147	 52221.539	0	395	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2700001\ --seeds\ 2700001\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2700001/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2700001\ --seeds\ 2700001\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2700001/log.txt;
12	hadoop221.research.att.com	1759321671.230	 55995.763	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1883634842\ --seeds\ 1883634842\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1883634842/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1883634842\ --seeds\ 1883634842\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1883634842/log.txt;
20	hadoop170.research.att.com	1759321671.289	 59103.954	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2606453957\ --seeds\ 2606453957\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2606453957/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2606453957\ --seeds\ 2606453957\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/2606453957/log.txt;
6	hadoop228.research.att.com	1759321671.182	 60534.738	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3548644859\ --seeds\ 3548644859\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3548644859/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3548644859\ --seeds\ 3548644859\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3548644859/log.txt;
26	hadoop242.research.att.com	1759321671.331	 61031.451	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1094121244\ --seeds\ 1094121244\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1094121244/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1094121244\ --seeds\ 1094121244\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1094121244/log.txt;
28	hadoop230.research.att.com	1759321671.344	 61163.672	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1090525961\ --seeds\ 1090525961\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1090525961/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1090525961\ --seeds\ 1090525961\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1090525961/log.txt;
30	hadoop234.research.att.com	1759321671.357	 61578.642	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3310223418\ --seeds\ 3310223418\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3310223418/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3310223418\ --seeds\ 3310223418\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3310223418/log.txt;
16	hadoop196.research.att.com	1759321671.260	 62148.188	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1502014705\ --seeds\ 1502014705\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1502014705/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1502014705\ --seeds\ 1502014705\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1502014705/log.txt;
22	hadoop185.research.att.com	1759321671.303	 63465.894	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/4194499680\ --seeds\ 4194499680\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/4194499680/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/4194499680\ --seeds\ 4194499680\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/4194499680/log.txt;
8	hadoop204.research.att.com	1759321671.198	 68882.627	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1033592630\ --seeds\ 1033592630\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1033592630/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1033592630\ --seeds\ 1033592630\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/1033592630/log.txt;
4	hadoop201.research.att.com	1759321671.164	 69018.053	0	404	0	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3170702080\ --seeds\ 3170702080\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3170702080/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3170702080\ --seeds\ 3170702080\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/3170702080/log.txt;
9	hadoop226.research.att.com	1759321671.207	181186.321	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/9263589860\ --seeds\ 9263589860\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/9263589860/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/9263589860\ --seeds\ 9263589860\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/9263589860/log.txt;
19	hadoop189.research.att.com	1759321671.282	232491.875	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2606453957\ --seeds\ 2606453957\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2606453957/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2606453957\ --seeds\ 2606453957\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2606453957/log.txt;
17	hadoop236.research.att.com	1759321671.267	283048.584	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7214842310\ --seeds\ 7214842310\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7214842310/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7214842310\ --seeds\ 7214842310\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7214842310/log.txt;
