tipo,descricao,seed,num_vertices,num_arestas,grau_medio,grau_max,ks_stat,alpha_powerlaw,avg_indegree,max_indegree,avg_outdegree,max_outdegree,avg_degree_centrality,max_degree_centrality,avg_pagerank,max_pagerank,tipo_detectado,tipo_correto
0,Simples,5442,5000,5696,2.3594,537,0.02613101774723947,2.2402313354085237,2.2784,393,2.2784,393,0.00045577115423084624,0.07861572314462893,0.0002,0.02519694009679087,0,True
0,Simples,5043,5000,4240,1.7014,121,0.036924379531579454,2.440204674287494,1.696,112,1.696,112,0.00033926785357071414,0.022404480896179236,0.0002,0.008120481642772879,0,True
1,Digrafo,5361,5000,6916,1.3846,47,0.05382759019243155,2.676985435095398,1.3832,45,1.3832,46,0.0005528305661132226,0.01820364072814563,0.0002,0.005661010601065279,1,True
1,Digrafo,1920,5000,9124,1.8336,116,0.028297118024055434,2.3644086795914117,1.8248,112,1.8248,111,0.0007274254850970195,0.04360872174434887,0.0002,0.010412561114429848,1,True
1,Digrafo,1732,5000,7582,1.5202,79,0.047470443633628845,2.5867442372079035,1.5164,77,1.5164,73,0.0006057211442288458,0.029205841168233646,0.0002,0.008724139518078225,1,True
1,Digrafo,9560,5000,16276,3.8482,1620,0.020238726190054068,2.066748440217278,3.2552,876,3.2552,832,0.0012359271854370875,0.28205641128225645,0.0002,0.04956676681968795,1,True
1,Digrafo,8195,5000,7062,1.414,134,0.04039947628113638,2.6732243577824875,1.4124,129,1.4124,132,0.0005644328865773154,0.05121024204840968,0.00019999999999999998,0.01563770955593784,1,True
20,Multigrafo,9038,5000,5695,2.2854,252,0.030339787615282665,2.2557039115361954,2.278,238,2.278,238,0.0004556911382276455,0.04760952190438088,0.00020000000000000004,0.014310789308080126,20,True
20,Multigrafo,2314,5000,11085,4.5444,2652,0.030911623708353875,2.081441594193806,4.434,2338,4.434,2338,0.0008869773954790958,0.46769353870774155,0.0002000000000000001,0.08165133088788082,20,True
20,Multigrafo,5137,5000,7417,2.9772,329,0.033524727271688315,2.1552461132237646,2.9668,323,2.9668,323,0.0005934786957391478,0.06461292258451691,0.0002,0.01570305812951611,20,True
20,Multigrafo,6607,5000,7461,3.0138,889,0.030456735586612438,2.1579055221789627,2.9844,819,2.9844,819,0.000596999399879976,0.16383276655331067,0.00019999999999999996,0.039345281980817055,20,True
20,Multigrafo,6736,5000,3485,1.3936,36,0.04464308587806287,2.653723137358157,1.394,36,1.394,36,0.00027885577115423086,0.0072014402880576115,0.0002,0.003054468334119397,20,True
21,Multigrafo-Dirigido,5033,5000,11263,2.2784,1077,0.040358619189420186,2.333946369206586,2.2526,973,2.2526,972,0.0008692938587717544,0.3284656931386277,0.0002,0.07418901854052937,21,True
21,Multigrafo-Dirigido,9569,5000,7254,1.4514,67,0.05126337980955187,2.653698612201006,1.4508,67,1.4508,67,0.0005794758951790358,0.026205241048209642,0.0002,0.007777474096019031,21,True
21,Multigrafo-Dirigido,403,5000,18480,3.7156,801,0.028800872442066028,2.048767762554143,3.696,768,3.696,768,0.0013867573514702942,0.2474494898979796,0.00019999999999999996,0.035990530506355,21,True
21,Multigrafo-Dirigido,8637,5000,8825,1.7664,70,0.037325949490660204,2.420510073903025,1.765,70,1.765,70,0.0007045409081816364,0.027405481096219243,0.0002,0.00672652923353448,21,True
21,Multigrafo-Dirigido,2023,5000,8855,1.773,108,0.03746275907451746,2.400073878532109,1.771,107,1.771,106,0.0007067013402680537,0.04120824164832967,0.0002,0.010162034092840897,21,True
30,Pseudografo,1818,5000,4149,1.6592,917,0.04707717238956899,2.564516149779432,1.6596,917,1.6596,917,0.0003319863972794559,0.18343668733746749,0.0002,0.06651599962303915,30,True
30,Pseudografo,9864,5000,3850,1.5398,192,0.04892347162794075,2.5690619363014244,1.54,192,1.54,192,0.0003080616123224646,0.03840768153630726,0.00019999999999999998,0.014720834555885754,30,True
30,Pseudografo,2371,5000,11863,4.7448,3084,0.026117050039966727,2.0072361263082,4.7452,3084,4.7452,3084,0.0009492298459691938,0.6169233846769354,0.00020000000000000036,0.09567361410152095,30,True
30,Pseudografo,3984,5000,4124,1.6492,253,0.041522095525098335,2.463359614561684,1.6496,253,1.6496,253,0.0003299859971994399,0.05061012202440488,0.0002,0.018819851654040494,30,True
30,Pseudografo,8551,5000,3902,1.5606,236,0.055079045170311036,2.5833625338560786,1.5608,236,1.5608,236,0.0003122224444888978,0.047209441888377675,0.0002,0.017928910264209914,30,True
31,Pseudografo-Dirigido,1244,5000,6635,1.3268,33,0.05655659409190805,2.833266784721408,1.327,33,1.327,33,0.0005308261652330467,0.013202640528105622,0.00019999999999999998,0.004252286014465658,31,True
31,Pseudografo-Dirigido,4876,5000,7704,1.5406,423,0.041183028312553716,2.6274888497158027,1.5408,423,1.5408,423,0.0006119623924784956,0.15943188637727546,0.0002,0.04664088798321001,31,True
31,Pseudografo-Dirigido,2038,5000,8301,1.66,302,0.0454604590871579,2.501808586656396,1.6602,302,1.6602,302,0.0006598919783956792,0.11542308461692338,0.0002,0.030928629177667574,31,True
31,Pseudografo-Dirigido,1318,5000,7092,1.4182,36,0.05493680518736721,2.6819817305654157,1.4184,36,1.4184,36,0.0005671534306861373,0.014202840568113623,0.00019999999999999998,0.004229881656124903,31,True
31,Pseudografo-Dirigido,9872,5000,6775,1.3548,42,0.0480974274964725,2.797588943094939,1.355,42,1.355,42,0.0005417883576715343,0.016403280656131225,0.0002,0.005317063283123105,31,True
